YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2023,4,26,5.65,7.46,0.7,101.35,2.11,2.95,1.44,1.51,168.56,4.16,5.47,2.1,3.38,169.38
2023,4,27,5.47,7.4,0.63,101.14,1.84,2.91,0.97,1.94,174.62,3.48,5.56,1.37,4.2,175.25
2023,4,28,2.0,7.45,1.29,100.26,3.45,5.27,1.26,4.01,103.19,5.81,9.27,2.96,6.3,106.44
2023,4,29,5.79,7.39,0.63,100.04,1.79,2.38,1.16,1.21,238.0,3.34,5.12,1.72,3.41,238.69
2023,4,30,2.17,7.36,1.04,98.72,3.03,5.42,1.67,3.75,193.88,5.59,8.97,2.75,6.22,196.31
2023,5,1,4.68,7.91,1.48,99.15,4.21,6.11,2.59,3.52,238.19,7.52,9.44,4.68,4.76,240.06
2023,5,2,5.58,8.03,1.35,99.24,3.84,5.69,1.73,3.95,262.06,7.12,8.77,4.31,4.46,263.44
2023,5,3,4.49,7.88,1.23,99.58,3.42,5.34,1.77,3.57,280.88,6.17,7.88,3.56,4.31,281.69
2023,5,4,5.78,7.92,0.95,100.66,2.47,3.58,1.29,2.29,238.75,4.12,5.75,1.86,3.89,239.31
2023,5,5,7.11,7.87,0.63,101.45,1.73,2.34,0.72,1.62,255.38,3.22,5.59,1.26,4.32,255.62
2023,5,6,6.87,7.8,0.37,101.63,0.95,2.22,0.13,2.08,181.12,1.94,5.69,0.16,5.52,193.62
2023,5,7,5.18,7.48,0.81,100.88,2.38,3.73,1.62,2.11,217.12,4.57,6.72,2.31,4.41,218.94
2023,5,8,7.16,7.66,0.75,100.35,2.12,3.72,1.44,2.28,258.31,3.8,5.72,2.66,3.05,259.94
2023,5,9,4.38,7.32,0.86,100.58,2.15,4.55,1.09,3.46,91.75,3.34,6.51,1.62,4.89,92.19
2023,5,10,7.39,7.42,0.48,101.35,1.23,2.28,0.12,2.16,128.94,2.18,4.74,0.17,4.58,130.12
2023,5,11,6.61,7.36,0.72,101.38,2.07,2.38,1.64,0.74,220.0,4.02,5.94,2.93,3.01,220.94
2023,5,12,6.84,7.59,0.8,101.19,2.31,2.98,1.79,1.19,217.81,4.4,6.02,3.31,2.7,219.56
2023,5,13,3.55,7.39,1.02,101.04,2.7,4.33,1.62,2.7,248.44,4.62,6.55,3.02,3.52,220.0
2023,5,14,7.52,7.75,0.72,101.39,2.01,3.0,1.39,1.61,141.19,3.71,5.41,2.38,3.04,126.25
2023,5,15,4.05,7.85,0.53,101.63,1.48,1.92,0.52,1.4,192.81,2.74,4.73,0.65,4.07,192.94
2023,5,16,4.37,7.55,0.93,100.29,2.59,3.82,1.57,2.25,222.75,4.9,6.31,3.3,3.01,224.44
2023,5,17,6.36,7.4,0.91,100.16,2.48,4.21,0.83,3.38,220.31,4.48,6.9,1.55,5.35,235.25
2023,5,18,7.12,7.75,0.89,101.52,2.51,3.32,1.76,1.56,93.38,4.57,5.2,3.81,1.39,94.38
2023,5,19,5.23,7.64,0.84,101.56,2.38,3.42,1.6,1.82,99.06,4.51,5.23,3.38,1.84,100.44
2023,5,20,7.19,7.84,0.56,100.84,1.59,1.95,1.15,0.81,219.56,3.07,4.91,1.41,3.5,206.44
2023,5,21,7.81,7.96,0.96,100.96,2.38,3.77,0.6,3.16,257.75,4.05,6.63,0.81,5.83,258.62
2023,5,22,7.28,7.64,0.82,101.26,2.35,3.02,1.48,1.55,121.88,4.64,5.95,1.87,4.08,122.81
2023,5,23,6.61,7.71,1.0,101.53,2.79,4.22,1.65,2.57,63.38,5.27,6.35,3.09,3.26,64.25
2023,5,24,7.33,7.94,0.88,100.98,2.17,3.32,1.34,1.98,59.0,3.69,4.98,2.06,2.91,59.75
2023,5,25,4.28,7.35,1.02,101.12,2.74,4.2,1.65,2.55,84.81,4.88,7.18,2.43,4.75,85.31
2023,5,26,6.74,8.41,1.05,101.59,2.86,4.45,1.69,2.77,68.12,5.2,6.64,2.97,3.67,68.31
2023,5,27,4.78,8.36,1.1,101.63,3.21,4.92,2.01,2.91,58.19,6.02,7.67,4.24,3.43,59.81
2023,5,28,2.9,8.09,1.23,100.98,3.34,4.55,1.98,2.58,39.5,5.55,6.77,3.94,2.84,42.44
2023,5,29,4.57,7.9,1.03,100.56,2.81,3.55,2.35,1.21,66.88,4.95,5.77,3.63,2.14,69.06
2023,5,30,2.59,7.94,1.09,101.12,2.89,4.04,1.38,2.66,43.94,4.84,5.81,3.67,2.14,45.69
2023,5,31,7.39,8.14,0.78,101.23,2.16,2.85,1.55,1.31,34.06,3.88,4.63,3.37,1.27,35.38
2023,6,1,4.68,8.18,0.88,100.99,2.36,3.25,1.47,1.78,45.12,4.23,4.74,2.28,2.47,45.94
2023,6,2,8.26,8.41,0.86,100.57,2.11,2.75,1.35,1.39,78.94,3.62,5.18,2.09,3.09,63.75
2023,6,3,7.74,7.95,1.04,100.43,2.56,3.99,0.82,3.17,96.38,4.02,6.4,1.1,5.3,96.0
2023,6,4,4.24,8.13,0.78,100.82,1.91,2.89,0.23,2.66,93.38,3.01,4.79,0.33,4.47,94.25
2023,6,5,7.39,8.0,0.73,100.59,1.78,2.23,1.09,1.13,265.75,3.03,4.38,1.49,2.89,265.75
2023,6,6,6.11,7.05,0.74,100.17,2.14,2.64,1.21,1.43,284.19,4.29,6.12,1.5,4.62,285.88
2023,6,7,4.77,6.14,0.51,99.82,1.46,2.01,1.0,1.01,279.56,3.08,5.54,1.52,4.03,279.06
2023,6,8,5.2,6.49,0.71,99.86,1.83,3.24,1.12,2.12,202.62,3.15,5.21,1.7,3.52,186.75
2023,6,9,6.35,7.34,0.8,100.21,1.93,3.31,0.65,2.66,297.81,3.23,5.17,1.01,4.16,298.44
2023,6,10,8.07,8.12,0.7,100.4,2.01,2.45,0.68,1.78,256.19,3.97,6.34,1.02,5.32,257.81
2023,6,11,7.07,7.78,0.96,100.34,2.73,3.83,1.87,1.97,199.81,5.11,6.4,2.6,3.8,201.31
2023,6,12,3.89,7.77,1.06,99.83,2.93,4.08,1.88,2.2,228.0,5.27,6.16,3.88,2.28,229.5
2023,6,13,7.5,8.35,0.88,100.08,2.41,3.85,1.38,2.47,259.31,4.62,6.3,1.83,4.48,259.56
2023,6,14,5.38,8.25,1.23,99.68,3.42,5.88,1.85,4.03,251.5,6.3,9.41,3.08,6.34,252.38
2023,6,15,7.19,7.71,0.66,99.92,1.85,2.36,1.48,0.88,265.19,3.67,5.23,1.91,3.32,266.0
2023,6,16,4.52,6.96,0.78,99.81,2.16,3.26,1.26,2.0,241.94,4.16,5.26,1.67,3.58,242.75
2023,6,17,7.26,7.74,0.87,100.23,2.38,3.4,1.39,2.01,310.62,4.24,5.39,2.85,2.53,312.62
2023,6,18,7.47,7.7,0.55,100.53,1.55,2.31,0.43,1.88,260.19,3.15,5.69,0.74,4.95,260.12
2023,6,19,5.11,7.46,0.77,100.69,2.15,3.19,1.16,2.03,150.88,4.3,6.78,1.77,5.0,152.56
2023,6,20,3.14,7.48,1.16,100.9,3.16,4.46,1.74,2.72,70.88,5.62,6.88,3.93,2.95,73.0
