YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M
2021,5,12,101.53,3.7,5.62,1.98,3.64,197.62,5.55,9.31,3.03,6.27,198.25,6.51,8.33,2.49
2021,5,13,101.57,2.98,4.41,1.22,3.19,205.06,4.44,7.88,1.73,6.15,205.56,7.65,8.31,2.03
2021,5,14,101.54,2.23,3.57,0.5,3.08,212.31,3.59,7.23,0.61,6.61,213.75,5.52,8.1,1.35
2021,5,15,101.53,2.73,3.98,1.34,2.65,191.19,4.57,7.91,1.56,6.35,190.81,7.42,8.16,1.71
2021,5,16,101.6,1.82,3.23,0.26,2.97,192.06,2.7,6.35,0.36,5.99,191.88,3.6,7.92,1.2
2021,5,17,101.74,1.86,3.16,0.25,2.91,133.12,2.77,5.91,0.34,5.59,133.44,6.42,7.9,1.18
2021,5,18,101.89,2.4,3.62,1.55,2.08,205.19,3.8,7.2,1.76,5.44,206.44,7.87,8.07,1.47
2021,5,19,101.87,2.27,3.47,0.92,2.54,238.12,3.59,6.76,0.98,5.77,240.31,8.05,8.13,1.37
2021,5,20,102.09,3.36,4.89,1.3,3.59,173.5,5.41,8.17,1.51,6.66,187.75,7.42,7.83,2.14
2021,5,21,102.35,2.17,3.52,1.28,2.23,176.5,3.4,7.17,1.47,5.7,177.56,8.05,8.06,1.34
2021,5,22,101.57,3.64,4.24,2.95,1.3,286.5,6.34,8.86,3.24,5.62,287.12,5.58,7.58,2.3
2021,5,23,100.85,4.45,5.87,3.04,2.83,298.88,7.38,8.27,5.62,2.66,299.69,7.0,7.8,2.87
2021,5,24,101.43,4.73,6.58,3.16,3.41,101.62,6.37,9.91,5.23,4.67,102.12,2.39,7.08,3.3
2021,5,25,101.47,3.18,4.01,2.34,1.67,167.5,4.66,6.68,3.84,2.85,169.94,5.83,7.05,2.21
2021,5,26,100.79,3.05,3.55,2.2,1.36,223.56,5.06,7.31,3.26,4.05,225.44,6.58,7.58,1.97
2021,5,27,100.72,3.27,4.16,2.11,2.05,273.0,5.02,7.16,3.68,3.48,273.0,7.73,8.32,2.13
2021,5,28,100.27,4.49,6.15,1.28,4.87,96.5,6.21,7.52,2.5,5.02,98.38,3.74,7.19,3.09
2021,5,29,100.54,6.48,7.65,4.34,3.3,38.19,8.21,9.45,5.62,3.83,38.94,1.8,7.63,4.52
2021,5,30,101.26,4.87,5.98,2.88,3.1,163.44,6.69,8.02,5.43,2.59,164.31,2.68,8.11,3.34
2021,5,31,101.65,3.06,4.72,1.18,3.53,284.62,4.5,6.53,1.74,4.78,285.5,7.68,8.42,2.03
2021,6,1,101.59,3.28,4.16,2.3,1.85,186.19,5.08,7.27,3.12,4.15,187.69,6.44,8.03,2.14
2021,6,2,101.33,3.7,4.82,2.5,2.32,163.12,5.65,7.88,3.58,4.3,164.81,5.74,7.55,2.49
2021,6,3,100.78,3.97,5.62,2.34,3.29,188.56,5.88,8.55,4.34,4.2,190.12,4.68,7.49,2.66
2021,6,4,100.57,3.09,4.03,1.95,2.09,256.75,4.82,7.06,3.07,3.99,257.56,6.15,7.9,1.98
2021,6,5,100.78,3.35,4.18,2.38,1.8,243.62,5.66,7.72,2.92,4.8,244.88,7.98,8.16,2.09
2021,6,6,100.93,2.45,3.2,0.9,2.3,206.06,4.28,6.87,1.14,5.73,208.31,7.51,8.08,1.53
2021,6,7,100.98,3.15,3.87,2.47,1.4,195.75,5.21,6.54,3.83,2.71,196.69,6.39,7.76,2.02
2021,6,8,100.91,2.02,2.73,1.24,1.49,226.56,3.36,5.84,1.52,4.32,228.0,5.96,7.55,1.26
2021,6,9,100.81,2.45,3.27,1.84,1.43,297.25,3.81,4.78,2.41,2.38,283.44,4.55,7.65,1.52
2021,6,10,100.56,2.9,5.55,0.78,4.78,200.62,4.14,7.45,0.95,6.51,202.19,4.56,7.6,1.95
2021,6,11,100.29,5.41,6.33,4.51,1.82,83.56,7.05,7.82,6.3,1.52,84.5,1.9,7.42,3.75
2021,6,12,100.17,3.0,4.41,1.15,3.27,68.38,4.24,6.45,1.32,5.12,68.38,3.08,7.61,2.08
2021,6,13,100.38,3.38,4.65,2.59,2.06,169.62,5.06,7.13,3.69,3.45,171.12,5.14,7.81,2.32
2021,6,14,100.09,3.48,4.98,1.38,3.61,208.31,5.12,8.02,1.98,6.05,209.56,7.49,8.13,2.36
2021,6,15,100.11,4.29,6.25,1.9,4.35,313.62,6.12,8.49,3.64,4.85,314.69,7.47,8.26,2.91
2021,6,16,100.46,3.76,4.88,2.45,2.41,319.12,5.56,7.78,4.24,3.53,319.81,8.45,8.56,2.5
2021,6,17,100.81,3.03,4.29,1.2,3.09,305.81,4.58,8.41,1.7,6.71,306.88,8.56,8.77,2.05
2021,6,18,100.71,4.02,5.02,2.61,2.41,212.25,6.35,8.6,3.52,5.09,213.31,7.73,8.4,2.61
2021,6,19,100.19,3.12,5.36,1.56,3.8,227.12,4.87,9.62,1.91,7.71,228.81,3.92,7.6,2.06
2021,6,20,100.12,2.46,3.55,0.48,3.08,228.62,3.96,7.1,0.85,6.25,229.38,6.58,7.63,1.57
2021,6,21,99.73,3.1,3.98,2.38,1.6,190.56,4.9,6.04,3.97,2.06,192.38,6.58,7.63,2.03
2021,6,22,100.11,4.3,6.18,2.14,4.04,318.62,6.27,8.11,4.21,3.89,319.5,2.09,7.93,2.86
2021,6,23,101.43,2.51,3.88,0.65,3.23,162.31,3.84,6.96,0.73,6.23,160.19,8.19,8.58,1.62
2021,6,24,101.8,2.81,3.91,0.82,3.09,135.44,4.05,6.79,1.07,5.72,135.44,8.08,8.45,1.88
2021,6,25,101.63,2.94,4.2,1.66,2.55,168.94,4.47,7.41,1.98,5.43,170.25,7.58,8.35,1.94
2021,6,26,101.36,4.2,5.88,2.68,3.2,175.69,6.4,7.6,4.41,3.18,177.12,5.48,7.86,2.82
2021,6,27,101.3,4.34,5.74,3.07,2.67,190.75,6.54,7.6,5.86,1.74,192.25,6.76,7.8,2.93
2021,6,28,101.49,3.98,4.88,3.15,1.73,186.44,5.91,7.34,4.34,2.99,187.94,7.88,8.05,2.72
2021,6,29,101.43,3.35,4.5,2.78,1.72,201.69,5.26,7.2,3.3,3.89,203.5,7.9,8.16,2.24
2021,6,30,100.81,2.95,3.78,1.78,2.0,232.94,4.49,6.91,2.54,4.38,234.94,7.88,8.13,1.96
2021,7,1,100.3,3.45,6.08,0.63,5.45,221.19,4.86,8.09,0.76,7.33,222.44,4.88,7.78,2.38
2021,7,2,99.98,3.33,4.59,1.13,3.46,286.81,5.12,8.66,1.99,6.66,287.94,4.76,7.95,2.27
2021,7,3,100.11,3.81,5.02,1.93,3.09,321.56,5.55,7.05,3.08,3.97,322.0,6.76,8.04,2.59
