YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2MDEW,T2MWET,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,DATE
2021,5,12,3.85,8.16,0.35,12.83,3.69,8.26,101.66,1.95,3.23,0.52,2.71,108.56,3.48,6.77,0.66,6.12,108.31,2021-05-12
2021,5,13,7.61,8.32,0.7,14.1,5.95,10.02,101.66,2.32,2.77,1.67,1.1,86.69,3.91,6.36,2.9,3.46,87.38,2021-05-13
2021,5,14,5.7,8.23,0.52,15.66,5.63,10.65,101.71,1.34,2.24,0.09,2.16,182.88,2.16,4.99,0.09,4.9,184.25,2021-05-14
2021,5,15,7.49,8.25,0.68,17.14,7.28,12.21,101.68,1.55,2.35,0.9,1.45,196.5,2.83,5.88,1.35,4.53,182.31,2021-05-15
2021,5,16,4.19,8.0,0.38,16.22,9.41,12.82,101.71,1.41,1.82,0.84,0.98,185.38,2.71,4.45,1.1,3.34,183.12,2021-05-16
2021,5,17,6.18,8.03,0.55,17.64,10.92,14.28,101.8,1.22,1.93,0.49,1.44,110.25,2.21,4.85,0.61,4.24,111.62,2021-05-17
2021,5,18,7.84,8.28,0.7,18.7,11.15,14.92,102.01,1.14,2.34,0.32,2.02,136.19,2.24,4.52,0.38,4.14,134.5,2021-05-18
2021,5,19,8.25,8.28,0.73,20.73,12.38,16.56,102.03,1.36,2.48,0.11,2.37,195.44,2.47,4.56,0.18,4.38,194.5,2021-05-19
2021,5,20,7.36,7.81,0.66,22.09,12.8,17.44,102.17,1.86,3.09,0.51,2.58,165.25,3.56,6.25,0.82,5.43,165.06,2021-05-20
2021,5,21,8.28,8.3,0.73,19.83,11.06,15.45,102.45,1.8,2.18,1.22,0.97,95.25,3.33,5.47,1.71,3.76,95.0,2021-05-21
2021,5,22,6.09,7.81,0.54,22.69,13.65,18.16,101.78,1.81,2.28,1.16,1.12,274.44,3.83,5.55,1.74,3.81,276.81,2021-05-22
2021,5,23,6.4,7.66,0.57,25.51,16.62,21.06,101.1,2.31,3.07,1.86,1.21,297.12,4.75,6.16,2.55,3.6,299.38,2021-05-23
2021,5,24,4.61,7.17,0.41,21.17,16.55,18.86,101.42,2.73,3.88,1.66,2.22,129.75,4.72,6.07,3.5,2.57,130.94,2021-05-24
2021,5,25,5.76,7.5,0.51,22.32,17.1,19.71,101.58,1.62,2.16,1.15,1.01,158.75,3.06,4.8,1.85,2.95,161.0,2021-05-25
2021,5,26,6.63,7.38,0.59,26.76,19.59,23.18,101.0,2.45,3.71,1.66,2.05,224.75,4.7,6.42,3.28,3.14,226.38,2021-05-26
2021,5,27,7.67,8.11,0.67,26.29,16.93,21.61,100.82,1.59,2.55,0.56,1.98,277.69,2.85,4.54,0.8,3.73,276.06,2021-05-27
2021,5,28,5.51,7.59,0.48,25.95,18.23,22.09,100.27,1.97,4.08,0.15,3.93,181.5,3.63,6.81,0.15,6.66,181.62,2021-05-28
2021,5,29,1.78,7.56,0.16,17.16,14.97,16.06,100.37,3.12,5.69,0.77,4.92,57.94,4.81,7.84,0.92,6.91,60.38,2021-05-29
2021,5,30,2.76,8.21,0.24,12.16,9.0,10.58,101.3,3.02,3.91,1.55,2.35,138.75,4.8,6.06,2.88,3.19,139.12,2021-05-30
2021,5,31,7.09,8.26,0.62,16.42,10.12,13.27,101.83,1.73,2.61,0.55,2.05,273.12,3.07,4.98,0.84,4.13,274.62,2021-05-31
2021,6,1,6.55,8.31,0.57,19.59,13.59,16.59,101.72,1.63,2.16,1.08,1.09,186.75,3.12,5.3,1.84,3.47,188.0,2021-06-01
2021,6,2,5.55,8.04,0.48,21.15,16.19,18.68,101.42,2.09,3.0,1.02,1.97,146.31,3.71,5.88,1.47,4.41,148.88,2021-06-02
2021,6,3,3.88,7.81,0.34,22.39,20.19,21.29,101.01,2.87,4.32,1.72,2.6,190.31,5.12,6.41,2.94,3.48,192.69,2021-06-03
2021,6,4,5.17,7.85,0.45,23.51,19.35,21.43,100.77,2.07,3.07,0.91,2.16,232.0,3.85,5.55,1.58,3.97,233.88,2021-06-04
2021,6,5,8.01,8.17,0.7,25.11,17.36,21.23,100.99,1.78,2.49,0.45,2.04,196.06,3.7,6.11,0.63,5.48,196.25,2021-06-05
2021,6,6,7.88,8.12,0.69,26.76,20.28,23.52,101.11,1.99,2.95,1.28,1.67,201.88,3.84,5.33,1.7,3.62,203.62,2021-06-06
2021,6,7,6.4,7.76,0.55,26.07,21.78,23.93,101.18,2.09,3.24,1.66,1.58,200.94,3.87,5.17,2.39,2.78,202.12,2021-06-07
2021,6,8,6.03,7.58,0.52,26.99,21.73,24.36,101.12,2.41,3.15,1.68,1.47,219.56,4.46,5.76,3.23,2.53,221.88,2021-06-08
2021,6,9,4.17,7.36,0.36,26.87,22.01,24.44,100.95,1.27,1.84,0.23,1.6,286.5,2.23,4.09,0.3,3.77,287.81,2021-06-09
